Title,Location,Company,Summary,Search_type,Date,Link,Extraction_date
Data Center Engineer,Stockholm,Tele2,Experience in Python or other languages.We are looking for someone who takes responsibility and are genuinely interested in data center technologies.,Organic,2 dagar sedan,https://se.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOIgjFGgebTbn9sHksZH5Oj6aEyjvfAyEUdtntHQBML-7kYdzJMH-SqovlouJ0ZZZ5qm4akVjpZiI7mN74pRV6VpPp44Oip9ajztv-hHlDB2GG7WknfzvT29m0xEKCKdM1qWCqrXMV2EhuM1VVWKi6BDNPwwZahczAbdAdRGMS5TJpUOeBqHK4zjDusnCytvZpMyq6PIc4I3f13_5kwUQsSpHPQHWIK7htXmioiSgC8ekEM6refm3VWc8moVGD5Awo5KLwvWgRMGZyUsOH2p0h5GTp1iVT56xbmmBp8cYNyfPSzkx3POt0DkFJ4yZ83V_6YuVlNIeUl44HmAxljXyWoSYGUI1_1Aja3_pGXnJM0whESdoXy6blVxEkWPX9nrMbnKJux29cxrSTllzfBfmJyqyuEZf8DvbwgOBggbpHtD2H8GoYa-UtI9sasE6BvrEqvh7pJtKXF6cQFN4vnLS4mq4UqdvhjlK3imeOIJFgocbkx9Ho9AJeIbB10DDHGfNKzgdjo2bvHIGmi96Su0rAm0JF2-TDVv9DvlUMgROZ4buw71LKDSk04osGeMgbRSivR2lbMIslGSJyHPJX3wXfSC6tuzdup35PtjkBefr34oMK_b2mvISUQkesE0bbTW_zB6Dh455pKERz-hjQTAMzNrM7sg3tO0LbGeu6zFG6w9fZoVN9nIJlIKoYR9RMFODtlT7OgF6p5uMJ9-tBOqkof3K1bNz_JGXpwl93EnMEV9cA2_gbDi3S&p=0&fvj=0&vjs=3,2020-10-18
MACHINE LEARNING ENGINEER,Stockholm,TMC,Dessa specialistområden utgår från teknologiska nischkompetenser och skapar olika nätverk av ingenjörer och forskare.We’d love to hear from you.,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=0330bef0032d8ed0&fccid=0fcdec9647fe762c&vjs=3,2020-10-18
Senior Software Engineer - ML/AI (Machine Learning & Artific...,Stockholm,Ericsson,Steer studies and creative usage of new and/or existing data sources.Collaborate with product development teams and partners in Ericsson Businesses to…,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=3cee77f133c168e9&fccid=82656d64a9a3e6a7&vjs=3,2020-10-18
MSc: Edge-based Machine Learning for Low-Resolution Thermal...,Sverige,RISE Research Institutes of Sweden,We expect you to have good programming skills in Python and (embedded) C. Basic knowledge or a strong interest in machine learning and in particular deep…,Organic,4 dagar sedan,https://se.indeed.com/rc/clk?jk=cd50094ce08de19f&fccid=96af7eb19cfb48f5&vjs=3,2020-10-18
THESIS PROJECT: Forecasting Intermittent demand with Machine...,Sverige,Volvo Group,We would like to investigate this problem with machine learning algorithms (e.g. RNN) including other features collected from our supply chain.,Organic,6 dagar sedan,https://se.indeed.com/rc/clk?jk=324ecfa176f66e39&fccid=0f63e537c80f169b&vjs=3,2020-10-18
Machine Learning Engineer,Stockholm,Northfork AB,"For this position, we'd like you to have experience with machine learning concepts and some experience with Python or R for machine learning purposes.",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=fe84c1b584f25caf&fccid=e124a9ad16fa0496&vjs=3,2020-10-18
Machine Learning Engineer,Stockholm,Violet Ventures,Big data ramverk som Apache Spark.We profile ourselves as a company that provide the benefits of machine learning by taking responsibility of the whole…,Organic,17 dagar sedan,https://se.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXbwWRkNJwq2372GYLd0pY970pZElQAAwGosnC6oHaS4y6p44D1oPEiUE2cqUNlAfNoLy4d6u_gUXO7asTKxOcR_kx4fRA9v-_lrJuz3aW1I2u1QF_5aTSlM2qrR_cTgCDpCEMm-WbyRwRcZWB474BWRyshx0bWhA1-vzZcJ5vfkxAKixbzOSjTZsMZ4VKay98SsUHClTblX_4XzbnRgADo6XDs_P-mU7D3YdLo4GMwIk4hcOz41LsDu616bUyVevR1aByOWcB3-975aV9-4YCnZNpf1aA1Jz5NVbAaiqoPcQbOix1RDpVGKkF3Ec9tvtgLzKWuKNDxEGH5h7GDv8ctPF5ml6aGhbcT6nLwgySdC6wBgjpyBK74waRMGJKoajgGhi41wQjLbIh672n8qeKRaBT3hnOQssQN7449tQYZR2WFvMscP3Z3ej5XvZtEn2ZDRoNH61yWbacPExeUPw5Wy1Gw1VeM3MFtFOqqVtDIqg5H3hhA8bi0jHJGKio9PIf4c4_Gru3P-c4XQxo8uEqPKtUUMrB7tCxMIaFUeUP_0f6nha4pkSaLx0Jk-U1S9ytvuqwybMcgHfzEdb7E_SEqvCHBpreD1Y4rxyeSr3EQKP3CKJqN0-juatbatMqyjLaVttkzxf9-Oicn6yl5zHDuR6Jo3Nz0NBXhCvGGfXgwjX-uh2HGxL43skK4BVNNzmOVDQAbGGWX7yKPRPXV-WaZfS-JPLsYuXygCFZO3xZcRixxwZ7QVHI1jiFnJiiMyDCHIWOPfSij9hxIibqLjevf06F1lcBaCs=&p=6&fvj=0&vjs=3,2020-10-18
Data Analyst in Translational Science - Oncopeptides,Sverige,Haeger & Carlsson | Executive Search & Interim AB,Own research experience at PhD level or equivalent.Proficiency in working with databases and analysis tools of such data.,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=cdab308f58c3da7b&fccid=4976cfc9f682fe80&vjs=3,2020-10-18
Machine Learning Engineer,Stockholm,iZettle,"You are fluent in Python or R and open to learning new languages.Additionally, if you have used data pipelining tools such as Apache Spark or Apache Beam…",Organic,29 dagar sedan,https://se.indeed.com/rc/clk?jk=54e307126292b46f&fccid=978d9fd9799d55a8&vjs=3,2020-10-18
Data scientist/Engineer for our Stockholm office,Stockholm,Sweetspot,"Minimum 3 years of experience from data science.Metabase (or similar data visualisation tool).Founded in Stockholm, Sweden 2016, Sweetspot is the next…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=3067dcf59129f62d&fccid=8b2ff5db1102d989&vjs=3,2020-10-18
MSc student needed for machine learning in music analysis an...,Sverige,Ichigoichie AB,Machine learning and signal processing are two of the most in-demand and expanding fields in computer science.This is not an exhaustive list of requirements.,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=e36844a13706d18e&fccid=4a924c0a69451b79&vjs=3,2020-10-18
Senior Data Scientist for AI and Machine Learning,Stockholm,Ericsson,"5 years’ experience in data science.We are pushing the data science boundaries.Reinforcement learning, deep learning, semantic reasoning and more conventional…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=d229f99a8d58e4bf&fccid=82656d64a9a3e6a7&vjs=3,2020-10-18
Data Engineer - Business Intelligence,Södertälje,Scania,"Hadoop competence, as data engineer or in support function.BSc or MSc in Computer Science or related field (or equivalent experience).",Organic,6 dagar sedan,https://se.indeed.com/rc/clk?jk=f557a15e6d4e6de4&fccid=cb56934b721d3afe&vjs=3,2020-10-18
Student needed for look at different Machine learning method...,Uppsala,CrossControl AB,"Artificial Intelligence and Machine Learning is a strong global trend right now and our industry, where we supply display computers and HMIs to the heavy…",Organic,17 dagar sedan,https://se.indeed.com/rc/clk?jk=043587b564ef075b&fccid=8210d9ad4704fad2&vjs=3,2020-10-18
Data Analyst till Lendo!,Stockholm,Lendo Sverige,Ansök senast: 25 oktober 2020.Lendo är Sveriges ledande jämförelsetjänst av privatlån och är ett fintechbolag som ingår i den globala mediekoncernen Schibsted…,Organic,18 dagar sedan,https://se.indeed.com/rc/clk?jk=a53bead2eecad867&fccid=8ead6e2c96a20eef&vjs=3,2020-10-18
"Thesis - Audio Analytics, machine learning using recurrent n...",Lund,Axis Communications,"Thesis - Audio Analytics, machine learning using recurrent neural networks.One approach to machine learning with audio data is to transform the audio into a…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=0a492653d584adfd&fccid=a1003a86bec42ff5&vjs=3,2020-10-18
"Algorithm Design, Computational Geometry and Artificial Inte...",Göteborg,Unikie,"You are a motivated and enthusiastic IT professional, with a good knowledge of algorithm design, computational geometry and/or artificial intelligence.",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=43579d1146685481&fccid=0f816ebc4d91a898&vjs=3,2020-10-18
Competetive Intelligence Analyst,Uppsala,Cytiva,We are looking for a competitive intelligence analyst to join our recently formed team for Business Intelligence and Analysis.,Organic,17 dagar sedan,https://se.indeed.com/rc/clk?jk=b01dcd519300ed7f&fccid=c46411dafcae5d08&vjs=3,2020-10-18
"Research Engineer, Data mining",Halmstad,Halmstad University,"Type of employment Temporary position 3-6 months.Employment expires 2021-06-30.First day of employment 210101.Kristina Hildebrand, Saco-S, 070-7721015.",Organic,2 dagar sedan,https://se.indeed.com/rc/clk?jk=048f6ce3279d2ddc&fccid=438af05b26a2e9e2&vjs=3,2020-10-18
Product Data Analyst,Stockholm,BookBeat,Har ett intresse av att visualisera data genom exempelvis dashboards.Har erfarenhet av att systematisera eventhantering i en modern data warehouse-miljö.,Organic,1 dag sedan,https://se.indeed.com/rc/clk?jk=e2e94bdb756c163c&fccid=c6ca39bd9301df32&vjs=3,2020-10-18
Data Scientist - Machine Learning,Stockholm,MatHem eng,"Work closely with data engineers to create, launch and maintain machine learning models in production.Track-record of successfully launching machine learning…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=5242097f951066be&fccid=117a43fc5a23c4b4&vjs=3,2020-10-18
Failure prediction using machine log data,Eskilstuna,Volvo Group,This master thesis is suitable for two students that are completing their studies in engineering/applied mathematics big data or data analytics.,Organic,5 dagar sedan,https://se.indeed.com/rc/clk?jk=91c5896c081678e0&fccid=0f63e537c80f169b&vjs=3,2020-10-18
Marketing Data Analyst,Stockholm,Epidemic Sound,Experience using data visualization to create compelling data stories.Experience working with large datasets using SQL and/or other programming languages such…,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=c890787a8c6247e3&fccid=0724ac049d2b292c&vjs=3,2020-10-18
Kravledare / Business Analyst,Sverige,C.A.G MER Consulting,"Arbetat som kravledare, kravanalytiker, business analyst, produktägare eller motsvarande.Vill du utvecklas i din roll som kravledare/business analyst i en…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=a07e7d51963ad249&fccid=5f4a4d962f13ccd8&vjs=3,2020-10-18
Data Engineer,Göteborg,KVD,Optimering och strukturering av data.Visualisera insamlad data i Power BI.Val av data-modeller och arkitektur.Då är detta absolut rollen för dig!,Organic,5 dagar sedan,https://se.indeed.com/rc/clk?jk=d3f7b5ac5c34adc7&fccid=01aab859bf5d1791&vjs=3,2020-10-18
Deep Learning Engineer,Göteborg,EmbeDL,"Experience with FPGA, ASIC design or embedded programming.M.Sc. or PhD in Computer Science, Physics, Electrical Engineering, or make a great case for your…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=ce2b21a406df1da0&fccid=ddf259917dbd8d55&vjs=3,2020-10-18
Biostatistician or epidemiologist with knowledge of machine...,Örebro,Region Örebro Län,Biostatistician or epidemiologist with knowledge of machine learning.Responsibilities will include participating in the development of machine learning…,Organic,5 dagar sedan,https://se.indeed.com/rc/clk?jk=36938ae6c4e1fceb&fccid=74bb6fd5db622f97&vjs=3,2020-10-18
Correlation exploration between cognitive and emotional metr...,Sverige,InnoBrain AB,We also want to see a passion and understanding of data science and research.You will present information using data visualization techniques.,Organic,19 dagar sedan,https://se.indeed.com/rc/clk?jk=6d7f82f2606b0934&fccid=3c16507ffa50f846&vjs=3,2020-10-18
Developers in Machine Learning for Medical Applications,Stockholm,Digital Diabetes Analytics,"Ideally, you have some working experience in statistical modeling and/or machine learning.You will apply data science methods to improve and optimize glucose…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=11c98e454ee36294&fccid=2d7c041b51e07ac2&vjs=3,2020-10-18
Data Engineer - McKinsey Analytics,Stockholm,McKinsey & Company,You'll be a hands-on expert who connects and models complex distributed data sets to build repositories such as data warehouses and data lakes using the…,Organic,4 dagar sedan,https://se.indeed.com/rc/clk?jk=f614066f67a2ba89&fccid=6576e7250aa78c3c&vjs=3,2020-10-18
MACHINE LEARNING ENGINEER,Stockholm,Harnham,As a machine learning engineer you will.Confident statistical and machine learning skills.As a machine learning engineer you will partake from ideation…,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=b903f219d8c76676&fccid=d72eb0548d91249c&vjs=3,2020-10-18
DATA SCIENTIST TILL SIGMA IT I MALMÖ,Sverige,Sigma IT Consulting,"Övergripande kunskap om Hadoop, Spark, IoT samt ramverk inom behandling av data.Sigma IT söker dig som är intresserad av framtida möjligheter och uppdrag inom…",Organic,3 dagar sedan,https://se.indeed.com/rc/clk?jk=3dd0f9c907a78cfe&fccid=be56dfa07c14d1ac&vjs=3,2020-10-18
Machine Learning Engineer – Growth,Stockholm,Spotify,"You have a strong background in machine learning, theory, and practice.You are experienced with building data pipelines, and you are self-sufficient in getting…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=4daf77187bcb1fe2&fccid=fe404d18bb9eef1e&vjs=3,2020-10-18
Data Engineer / Systemutvecklare,Sundbyberg,Svenska kraftnät,"Analytiska färdigheter relaterade till att arbeta med ostrukturerade data, manipulera, bearbeta och extrahera värde från stora datamängder.",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=88e90a2a97a64485&fccid=46928089e2969356&vjs=3,2020-10-18
Data Scientist,Stockholm,If,Experience in operationalizing and maintaining machine learning models.Minimum of 3 years as data scientist or demonstrated experience in the area.,Organic,17 dagar sedan,https://se.indeed.com/rc/clk?jk=5b247a3637db5947&fccid=e184a31a02779c4d&vjs=3,2020-10-18
Business Intelligence Analyst,Stockholm,Voi Technology,"We don't care if you call yourself a Data Scientist, Business Intelligence Developer or Data Engineer, most important for us is that you work with data, that…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=d8d9d2c2bbab4d35&fccid=639bee6393c60c73&vjs=3,2020-10-18
Data Center Engineer/Drifttekniker (Ex-Military),Katrineholm,Amazon Data Services Sweden AB,"Electrical, mechanical or instrumentation training and/or relevant experience.Push or pull heavy objects into position.Även för deras makar och partners.",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=cc941b6da90c9cc3&fccid=fe2d21eef233e94a&vjs=3,2020-10-18
BI-utvecklare till nyckelroller i utmanande uppdrag!,Sverige,Avega Group,"Du har möjlighet att förbättra kundens situation och transformera gamla eller bygga nya systemlösningar som en Data Warehouse arkitekt, utvecklare, data…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=502fb714bb5dddbd&fccid=418e33501786dc98&vjs=3,2020-10-18
MSc: Edge-based Machine Learning for Low-Resolution Thermal...,Stockholm,RISE Research Institute of Sweden,We expect you to have good programming skills in Python and (embedded) C. Basic knowledge or a strong interest in machine learning and in particular deep…,Organic,5 dagar sedan,https://se.indeed.com/rc/clk?jk=7591e4176977993e&fccid=a4646c9b3e6ef9cb&vjs=3,2020-10-18
Data Engineer,Stockholm,Xlent Consulting Group,"Vi är ett glatt och vasst Analyticsgäng med spännande projekt, suveräna kundrelationer och högt fokus på utmanande uppgifter.",Organic,26 dagar sedan,https://se.indeed.com/rc/clk?jk=2a96779c639b0f0e&fccid=5ca77a8a6614856a&vjs=3,2020-10-18
Data Scientist,Danderyd,Kreditz,Uppföljning och vidareutveckling av deep learning och machine learning modeller.Analys och tolkning av data.Hantering och strukturering av stora datamängder.,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=f2de512b78f73da4&fccid=c12e4115d97e959a&vjs=3,2020-10-18
Data Engineer,Stockholm,Sogeti,I en värld som svämmar över av oanvänt data har Sogeti tagit på sig ansvaret att konvertera denna valuta till verkligt värde.,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=f52c8f57a877ff06&fccid=6eb97fc774cb61be&vjs=3,2020-10-18
Data Engineer,Stockholm,Cybercom Sweden & Denmark,Du har minst två års erfarenhet av att bygga data pipeline och ett stort intresse för arbete med data.Cybercoms dataanalysavdelning söker nu data engineers…,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=3801a273a82ea30d&fccid=3add38aee126db3b&vjs=3,2020-10-18
Developer / Data Mining Engineer,Stockholm,Ericsson,"We are looking for a developer/data mining engineer to be part of a dynamic and highly skilled team responsible for datamining, machine learning & analytics in…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=056214e0ac9ceff8&fccid=82656d64a9a3e6a7&vjs=3,2020-10-18
Data Scientist (various levels),Stockholm,Klarna,"This includes everything from root cause analysis, data collection and feature engineering to training, validating and implementing machine learning models,…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=8deb9e9af62a9f62&fccid=e327fa7aabb6e920&vjs=3,2020-10-18
Data Analyst,Solna,Cepheid,"Provide quality assurance of imported data, working with quality assurance analyst if necessary.To do well in this role you need a very fine eye for detail,…",Organic,2 dagar sedan,https://se.indeed.com/rc/clk?jk=d0f54dccc0f9d668&fccid=2dc2f35c3405a529&vjs=3,2020-10-18
IoT Specialist with focus on Data Science,Lund,Alfa Laval,"To suceed in this position you need to have proven experiences in working with data science and different data structures, with a good understanding in…",Organic,13 dagar sedan,https://se.indeed.com/rc/clk?jk=d25bf9951408ea86&fccid=ec4917fdb79e20eb&vjs=3,2020-10-18
Senior Data Engineer - GCP,Malmö,Sogeti,Din roll kommer troligen att innebära praktiskt arbete inom ramen för Data Engineering med tyngdpunkt inom insamling/transformering/analysering av data.,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=9f73e629e6e7b277&fccid=6eb97fc774cb61be&vjs=3,2020-10-18
Data Engineer,Stockholm,KAMBI,"Design and deploy production supported dimensional models, star schemas and/or data marts.Coach data users within Kambi to improve their understanding and…",Organic,18 dagar sedan,https://se.indeed.com/rc/clk?jk=d944bf3e7d0b2d47&fccid=1f139d6c4053bb0d&vjs=3,2020-10-18
Senior Cloud Data Engineer,Malmö,Combitech,Till teamet söker vi nu seniora konsulter inom data engineering.Här får du vara med och göra samhällsnytta och göra ett meningsfullt arbete i utvecklingens…,Organic,2 dagar sedan,https://se.indeed.com/rc/clk?jk=6e3c0a06cc74555b&fccid=ee57d7719efafb21&vjs=3,2020-10-18
30 Credits – Design of a Fuel type Diagnose using machine le...,Södertälje,Scania,"Some experience in machine learning or system identification.As we intend to have a model based on data from tests, the preferred modelling approach is system…",Organic,9 dagar sedan,https://se.indeed.com/rc/clk?jk=f51b812338d53fe7&fccid=cb56934b721d3afe&vjs=3,2020-10-18
Data Scientist,Stockholm,Voyado,"Det gör att Voyados kunder, med hög precision, kan kommunicera mer personligt och relevant vid varje enskild kundkontakt.Vad du kommer få göra.",Organic,16 dagar sedan,https://se.indeed.com/rc/clk?jk=ee4791b107c98b00&fccid=d44b571ab722ccd5&vjs=3,2020-10-18
Business Intelligence Developer / Analyst,Stockholm,Storytel,"Preparing dashboard’s underlying data in SAS or Big Query.You hold a degree in Computer Science, Statistics or other relevant field.You are proficient in SQL.",Organic,3 dagar sedan,https://se.indeed.com/rc/clk?jk=9e73b6cb25e5b1ea&fccid=e169537e54ff8e59&vjs=3,2020-10-18
Data Engineer,Stockholm,Trustly,Work with transformations of data from one or multiple source systems to feed our analytics and ML applications.MSc Software Engineering or equivalent.,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=7502a73bc3257c7f&fccid=26c16076c8b589a8&vjs=3,2020-10-18
Data Scientist,Sverige,Mavenoid,Fluency in Python and a deep-learning framework such as TensorFlow or PyTorch.At least two years of industry experience in AI/ML/data-science roles.,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=76b2b5100f0c9707&fccid=d860f0c3105418b3&vjs=3,2020-10-18
Data Analyst,Malmö,Sharkmob,Preparing data sets and automating analyses using SQL.Hands-on experience with data analysis and visualization.Your responsibilities will be the following:,Organic,10 dagar sedan,https://se.indeed.com/rc/clk?jk=7a1a992e36d6864c&fccid=9cf2768d0042875a&vjs=3,2020-10-18
